Employee ID,Employee Name,Gender,Profession,Profession Group,Date of Birth,Age,Hire Date,Resignation Date
95,"dr. Farhan Sari, Sp.B",M,Specialist Doctor,Medical,1987-01-27,39,08/09/2010,
96,"Vina Saputra, A.Md.Kep",F,Nurse,Medical,2003-07-11,22,01/05/2022,
97,"dr. Haris Siahaan, Sp.KK",M,Specialist Doctor,Medical,1978-04-19,48,01/03/2014,
98,"Yuni Prasetyo, S.E",F,Administration,Non Medical,1972-04-06,54,06/08/2001,
99,Retno Siregar,F,Pharmacist,Medical,1996-03-19,30,03/06/2023,
100,"Yoga Hutapea, A.Md.AK",M,Laboratory Analyst,Medical,1977-07-17,48,22/02/2009,
101,"dr. Agus Setiadi, Sp.KK",M,Specialist Doctor,Medical,1975-03-06,51,25/04/2004,
102,Kurniawan Sitompul,M,CSSD,Non Medical,1972-09-26,53,07/11/1993,
103,"Bayu Pratama, S.Tr.Kes",M,CSSD,Non Medical,1992-09-03,33,10/12/2017,
104,"Nur Setiadi, MD",F,Doctor,Medical,1981-07-22,44,02/09/2011,
105,Dr. Citra Panjaitan,F,Nurse,Medical,1994-11-30,31,27/11/2014,23/10/2015
106,Vina Kurniawan,F,Medical Records,Non Medical,2002-07-05,23,23/08/2022,
107,Zulkifli Sugiarto,M,Nurse,Medical,1981-11-20,44,09/02/2017,
108,"Wulan Suryanto, M.Kep",F,Nurse,Medical,1990-10-02,35,27/03/2022,
109,"Rahmat Suprapto, S.Tr.ELM",M,Electromedical Technician,Medical,1980-06-17,45,18/07/2006,
110,"Lukman Saputra, S.Farm",M,Pharmacist,Medical,1987-09-05,38,21/04/2010,
111,Susilo Sugiarto,M,Casemix / BPJS Claim,Non Medical,1989-09-26,36,08/03/2020,
112,"Novita Raharjo, M.Kep",F,Nurse,Medical,1979-12-29,46,25/03/2013,
113,dr. Haris Suryanto,M,Doctor,Medical,1988-04-24,38,22/12/2024,
114,Nur Suryanto,F,Medical Records,Non Medical,1990-04-30,36,27/09/2018,
115,"Nadia Situmorang, S.T",F,IT Team,Non Medical,1974-05-25,51,25/02/1993,
116,Hadi Siahaan,M,Nurse,Medical,1974-10-26,51,31/01/2006,
117,"Wulan Sinaga, Ners",F,Nurse,Medical,2001-02-05,25,18/09/2024,
118,"Fajar Simbolon, S.Kep",M,Nurse,Medical,1998-08-16,27,21/04/2021,
119,Dr. Tiara Hakim,F,Nurse,Medical,1981-05-14,44,30/09/1999,
120,"Zulkifli Saputra, M.Ked",M,Doctor,Medical,1977-10-26,48,29/05/2006,
121,Hendra Kurniawan,M,Security,Non Medical,1989-08-12,36,07/07/2021,
122,"Ayu Santoso, A.Md.Kep",F,Nurse,Medical,1993-03-26,33,16/05/2019,
123,"dr. Silvi Wijaya, Sp.PK",F,Specialist Doctor,Medical,2002-08-17,23,18/03/2022,
124,"Sri Priyanto, A.Md.Kep",F,Nurse,Medical,1989-12-19,36,09/12/2015,
125,Ahmad Pratama,M,Laundry Staff,Non Medical,2002-10-27,23,14/03/2021,
126,"dr. Susilo Malik, Sp.An",M,Specialist Doctor,Medical,1984-04-24,42,27/07/2009,
127,"Ratna Prabowo, M.Keb",F,Midwife,Medical,1967-08-01,58,01/06/2001,
128,dr. Ahmad Rahman,M,Doctor,Medical,1986-11-08,39,10/10/2019,
129,Rahmat Rahman,M,Administration,Non Medical,1993-08-09,32,29/06/2021,
130,"Nugroho Hutapea, A.Md.Keb",M,Midwife,Medical,1988-02-18,38,02/03/2018,
131,"Nur Sari, Sp.Kep",F,Nurse,Medical,1983-01-02,43,28/03/2003,
132,"Slamet Siahaan, MBBS",M,Doctor,Medical,1993-05-06,33,06/10/2021,
133,dr. Made Prasetyo,M,Doctor,Medical,1976-03-04,50,05/07/2013,
134,"Fani Wijayanto, S.Tr.Kes",F,CSSD,Non Medical,1984-04-02,42,14/11/2021,10/01/2023
135,"Dimas Wibowo, M.KM",M,Medical Records,Non Medical,1998-05-03,28,11/08/2019,
136,Anisa Utomo,F,IT Team,Non Medical,1997-09-29,28,05/11/2025,
137,"Endah Widodo, RD",F,Nutritionist,Medical,1972-02-22,54,13/12/2012,
138,"Dewi Prabowo, DrPH",F,Casemix / BPJS Claim,Non Medical,1974-12-28,51,25/01/1996,
139,"Joko Siahaan, A.Md.T",M,Building Technician,Non Medical,2003-08-12,22,27/04/2022,04/12/2024
140,"Candra Sugiarto, M.M",M,Administration,Non Medical,1988-03-11,38,05/01/2023,
141,"Putri Kusuma, RD",F,Nutritionist,Medical,1981-04-05,45,23/09/2010,
142,"Zulkifli Lubis, MD",M,Doctor,Medical,1999-01-13,27,26/10/2018,
143,"Kusuma Situmorang, A.Md.Kes",M,Laboratory Analyst,Medical,1965-01-18,61,03/01/1984,26/01/2004
144,"Zainal Siahaan, SST",M,Radiographer,Medical,1993-05-21,32,05/01/2021,
145,dr. Dewi Gunawan,F,Doctor,Medical,1979-12-06,46,13/12/2015,
146,Ahmad Siregar,M,Cleaning Service,Non Medical,1977-10-31,48,07/12/2006,
147,"Yanto Suprapto, S.Kes",M,Medical Support,Medical,1982-01-07,44,10/01/2005,
148,"Dedi Purwanto, M.Farm",M,Pharmacist,Medical,1991-11-25,34,19/03/2020,
149,"Bayu Suryanto, A.Md.Kes",M,Medical Support,Medical,1996-09-22,29,18/01/2014,
150,Mahendra Putra,M,Security,Non Medical,1977-09-29,48,20/04/2004,
151,Cahyo Kurniawan,M,Radiographer,Medical,2001-10-07,24,09/05/2021,
152,Ir. Usman Hakim,M,Management,Non Medical,1983-08-28,42,18/01/2011,
153,"Nur Hermawan, MD",F,Doctor,Medical,1969-12-31,56,31/03/2002,24/07/2013
154,"Maya Simanjuntak, S.E",F,Administration,Non Medical,2002-05-17,23,02/09/2023,
155,Gunawan Sinaga,M,Doctor,Medical,1979-09-09,46,08/07/2007,
156,"Jaya Sitompul, S.Tr.Kes",M,CSSD,Non Medical,1999-07-24,26,22/02/2019,
157,"Kusuma Prabowo, A.Md.Kep",M,Nurse,Medical,1988-09-27,37,27/12/2013,
158,"Rini Malik, A.Md.Kes",F,Medical Support,Medical,1976-03-02,50,13/03/2000,
159,"Ahmad Sugiarto, S.Tr.Kes",M,Laboratory Analyst,Medical,1987-06-25,38,25/03/2023,
160,"Vina Widodo, S.Kep",F,Nurse,Medical,1981-06-15,44,10/08/2006,
161,"dr. Zainal Simbolon, Sp.JP",M,Specialist Doctor,Medical,1997-12-30,28,22/04/2018,
162,"Slamet Wijaya, M.Kes",M,Medical Support,Medical,1988-03-01,38,18/11/2012,
163,"Rudi Hartono, ATLM",M,Blood Bank Officer,Medical,1989-03-02,37,20/06/2017,
164,Dr. Yoga Hermawan,M,Nurse,Medical,1968-09-16,57,24/07/2005,
165,Nadia Hartono,F,Electromedical Technician,Medical,1968-08-27,57,06/05/1987,
166,"Rahmat Hutapea, S.Sos",M,Administration,Non Medical,1965-03-22,61,29/04/2005,
167,"Rahmat Susanto, A.Md.Kep",M,Nurse,Medical,1973-12-18,52,10/04/2008,
168,"Zainal Pasaribu, S.Kes",M,Medical Support,Medical,1976-10-02,49,23/12/2013,
169,Dr. Bayu Simanjuntak,M,Doctor,Medical,1970-04-05,56,02/12/2010,
170,Yanto Wibowo,M,Administration,Non Medical,1986-12-09,39,20/06/2022,
171,Ningsih Firmansyah,F,Cleaning Service,Non Medical,1968-10-22,57,09/01/1990,
172,Kurniawan Wijaya,M,Administration,Non Medical,1988-11-15,37,04/06/2023,
173,Bella Manurung,F,Electromedical Technician,Medical,1969-12-01,56,23/03/2007,
174,"Gilang Gunawan, A.Md.Kes",M,Medical Support,Medical,1969-12-22,56,12/06/2005,14/06/2024
175,Yoga Wibowo,M,Nutritionist,Medical,1993-03-09,33,09/06/2024,
176,"Tuti Suprapto, S.Sos",F,Administration,Non Medical,1994-01-25,32,01/12/2018,
177,"Dewi Kusuma, S.Kep",F,Nurse,Medical,1979-10-23,46,07/03/2007,
178,"Diah Prabowo, M.KM",F,Medical Records,Non Medical,1976-12-17,49,13/07/1998,
179,"Rina Sari, M.M",F,Management,Non Medical,1982-10-06,43,21/06/2010,
180,"Purwanto Sinaga, SST",M,Radiographer,Medical,1996-07-16,29,13/06/2022,
181,"Yuliana Simbolon, M.KM",F,Medical Records,Non Medical,2000-06-09,25,16/08/2020,
182,"Eko Tampubolon, S.Ked",M,Doctor,Medical,1982-07-16,43,08/07/2011,
183,Budi Hermawan,M,Nurse,Medical,1971-05-10,54,01/11/2005,
184,"Purwanto Hutabarat, MARS",M,Casemix / BPJS Claim,Non Medical,1965-08-23,60,30/11/1983,
185,"Fitri Raharjo, SST",F,Midwife,Medical,1974-07-29,51,22/12/1995,
186,"Endah Utomo, S.Adm.Kes",F,Management,Non Medical,1978-06-10,47,26/03/2017,
187,"Ika Setiadi, M.Kes",F,Medical Support,Medical,2000-08-20,25,07/12/2018,
188,Usman Wibowo,M,Laundry Staff,Non Medical,1991-04-02,35,19/09/2018,
189,"Rina Gunawan, M.Kep",F,Nurse,Medical,1984-02-02,42,22/06/2021,
190,"Puspita Hakim, S.Kep",F,Nurse,Medical,1982-12-08,43,28/09/2007,09/05/2025
191,"Elia Prasetyo, S.Adm",F,Administration,Non Medical,1986-08-15,39,13/09/2005,
192,"Elia Widodo, MBBS",F,Doctor,Medical,1988-04-21,38,21/02/2025,
193,"Lestari Priyanto, A.Md.ELM",F,Electromedical Technician,Medical,1966-08-07,59,10/05/1985,
194,Taufik Pratama,M,Cleaning Service,Non Medical,1971-10-19,54,10/07/2009,
195,Joko Suprapto,M,K3 / Occupational Health & Safety,Non Medical,1968-10-30,57,07/05/1995,
196,"Rahmat Wibowo, S.Ked",M,Doctor,Medical,1975-03-25,51,18/07/1996,
197,"Rini Siahaan, A.Md.Kep",F,Nurse,Medical,1996-11-25,29,03/01/2015,23/11/2017
198,"Tiara Kusuma, M.Kes",F,Medical Support,Medical,1997-09-02,28,22/08/2015,
199,"Diana Wibowo, Sp.Kep",F,Nurse,Medical,1986-12-17,39,01/11/2015,
200,"Bella Santoso, M.M",F,Administration,Non Medical,1985-11-30,40,27/09/2018,
201,"dr. Lina Hutabarat, Sp.B",F,Specialist Doctor,Medical,1965-04-07,61,03/03/2002,
202,"Gilang Priyanto, CA",M,Finance,Non Medical,1998-08-09,27,16/08/2020,
203,"Tri Maulana, M.M",F,Administration,Non Medical,1996-10-26,29,21/09/2023,
204,"Hadi Setiawan, S.K3",M,K3 / Occupational Health & Safety,Non Medical,1986-04-21,40,18/08/2018,02/08/2020
205,"dr. Lestari Putra, Sp.P",F,Specialist Doctor,Medical,1982-11-06,43,13/05/2022,
206,"Galih Hutapea, A.Md.Kes",M,Medical Support,Medical,1980-11-29,45,05/09/2005,
207,Lukman Putra,M,Cleaning Service,Non Medical,1981-12-13,44,02/11/2006,
208,Haris Sugiarto,M,Building Technician,Non Medical,1968-06-01,57,28/08/2001,
209,Zara Raharjo,F,Administration,Non Medical,1972-11-23,53,20/10/1998,10/07/2014
210,Dr. Kartika Wijayanto,F,Nurse,Medical,1987-01-06,39,25/11/2014,
211,"Endah Utomo, M.KM",F,Medical Records,Non Medical,1979-12-11,46,06/10/2015,
212,Joko Wijayanto,M,Cleaning Service,Non Medical,1981-10-12,44,23/07/2017,25/10/2019
213,"dr. Retno Situmorang, Sp.RM",F,Specialist Doctor,Medical,1969-08-09,56,14/08/2006,
214,"Gunawan Budiman, A.Md.Kes",M,Laboratory Analyst,Medical,1987-01-14,39,18/03/2019,
215,"Hesti Kurniawan, M.Kep",F,Nurse,Medical,1999-09-28,26,01/11/2022,
216,"Ika Setiawan, S.Adm",F,Administration,Non Medical,1982-05-10,43,22/07/2010,
217,"Ika Panjaitan, M.M",F,Administration,Non Medical,2000-05-05,26,12/12/2024,
218,"Bella Prasetyo, Drs.",F,Management,Non Medical,1972-03-11,54,22/02/2002,
219,"Zulkifli Nasution, MBBS",M,Doctor,Medical,1966-10-11,59,20/05/1999,
220,"Endah Hutabarat, S.E",F,Management,Non Medical,1986-05-10,39,05/05/2018,
221,"Galih Nugroho, MBBS",M,Doctor,Medical,1972-05-22,53,26/07/2001,
222,"Kurniawan Pratama, S.KM",M,Casemix / BPJS Claim,Non Medical,1974-07-02,51,07/02/2008,
223,"Dr.dr. Haris Tampubolon, Sp.PD",M,Specialist Doctor,Medical,1998-06-17,27,02/08/2016,
224,Endah Wijaya,F,Laundry Staff,Non Medical,1995-01-24,31,10/04/2013,
225,"Gunawan Panjaitan, Ak.",M,Finance,Non Medical,2003-04-14,23,19/12/2024,
226,"Yuliana Sugiarto, A.Md.Kep",F,Nurse,Medical,1972-09-15,53,25/04/2012,
227,Vina Wijayanto,F,Physiotherapist,Medical,1987-08-10,38,17/04/2019,
228,Dr. Susilo Suprapto,M,Doctor,Medical,1966-04-20,60,23/11/2000,
229,"Vina Saputra, A.Md.Kes",F,CSSD,Non Medical,1995-01-03,31,06/11/2018,10/04/2019
230,Dr. Mira Saputra,F,Nurse,Medical,1992-07-15,33,03/09/2019,
231,Irfan Permana,M,Security,Non Medical,1985-12-29,40,29/07/2005,
232,Firmansyah Purwanto,M,Medical Support,Medical,1987-12-17,38,30/11/2021,
233,"Fani Manurung, M.Biomed",F,Laboratory Analyst,Medical,1973-07-12,52,06/02/2008,
234,"Dimas Situmorang, S.Adm.Kes",M,Management,Non Medical,1978-07-21,47,16/07/2014,
235,"Putri Purwanto, S.Tr.Kes",F,Blood Bank Officer,Medical,1969-03-26,57,06/08/2004,
236,"Widya Pasaribu, SST",F,Midwife,Medical,1996-12-25,29,26/09/2018,
237,"Yanto Manurung, MBBS",M,Doctor,Medical,1999-01-30,27,10/11/2023,
238,"Wati Hidayat, Ners",F,Nurse,Medical,2000-07-09,25,09/05/2025,
239,Fani Hermawan,F,Cleaning Service,Non Medical,1971-08-25,54,19/12/2007,
240,"Oki Pratama, Ners",M,Nurse,Medical,1987-12-21,38,28/03/2017,
241,"Yanti Putra, A.Md.Kes",F,Medical Support,Medical,1979-08-29,46,20/10/1997,06/03/2003
242,Vina Wijayanto,F,Nurse,Medical,1970-12-29,55,27/04/2008,
243,"Zainal Siregar, Drs.",M,Management,Non Medical,1968-02-10,58,08/04/2001,
244,"Anisa Setiawan, Ners",F,Nurse,Medical,1970-11-28,55,10/10/2000,10/07/2001
245,"Agus Pasaribu, M.Kep",M,Nurse,Medical,1966-09-10,59,25/03/1996,
246,"Mira Setiawan, S.Keb",F,Midwife,Medical,2001-05-18,24,09/06/2025,
247,"Vera Hidayat, S.Tr.Kes",F,Blood Bank Officer,Medical,1990-08-13,35,20/09/2015,
248,Susilo Simanjuntak,M,Ambulance Driver,Non Medical,1984-08-21,41,07/08/2017,
249,Candra Wibowo,M,Security,Non Medical,1983-02-23,43,29/04/2008,
250,"Taufik Pasaribu, MARS",M,Management,Non Medical,2003-05-14,22,23/06/2023,
251,"Slamet Siahaan, S.Kep",M,Nurse,Medical,1977-02-28,49,23/09/2004,
252,"dr. Vina Sinaga, Sp.RM",F,Specialist Doctor,Medical,1989-12-21,36,19/08/2025,
253,Wawan Wijaya,M,Security,Non Medical,1982-03-13,44,23/06/2020,
254,Putri Firmansyah,F,Blood Bank Officer,Medical,1985-03-26,41,22/09/2021,21/07/2025
255,"Wawan Malik, S.Ak",M,Finance,Non Medical,1988-03-09,38,18/06/2009,
256,"Sari Sari, S.Kep",F,Nurse,Medical,1977-08-12,48,05/11/2001,
257,"Rina Widodo, M.M",F,Management,Non Medical,1991-11-23,34,08/04/2021,
258,"Maya Firmansyah, S.E",F,Administration,Non Medical,1989-08-29,36,27/03/2025,
259,"Sinta Setiawan, M.Kep",F,Nurse,Medical,1989-11-09,36,08/06/2022,
260,"Yuni Lubis, M.Keb",F,Midwife,Medical,2001-08-07,24,31/10/2024,21/10/2025
261,"Dwi Hutapea, Ners",M,Nurse,Medical,1983-06-05,42,24/03/2019,
262,"dr. Wati Hermawan, Sp.A",F,Specialist Doctor,Medical,1983-09-30,42,31/05/2011,19/05/2020
263,"Mega Simanjuntak, S.KM",F,K3 / Occupational Health & Safety,Non Medical,2003-03-05,23,09/06/2022,
264,"Fajar Simanjuntak, S.Adm",M,Administration,Non Medical,1997-05-08,29,06/07/2015,
265,"Taufik Siregar, S.Kom",M,IT Team,Non Medical,1974-11-06,51,16/11/1995,
266,Zara Sugiarto,F,Cleaning Service,Non Medical,1997-02-11,29,17/02/2024,
267,Dr. Lestari Utomo,F,Nurse,Medical,1970-01-26,56,04/01/2005,
268,Kartika Lubis,F,Management,Non Medical,1987-09-15,38,28/11/2016,
269,"Hesti Hakim, Bd.",F,Midwife,Medical,2000-01-03,26,05/12/2024,
270,"Lina Kusuma, Ak.",F,Finance,Non Medical,1972-10-10,53,15/09/1990,
271,"Wulan Budiman, S.Kep",F,Nurse,Medical,1997-10-10,28,11/07/2016,
272,Susilo Panjaitan,M,Casemix / BPJS Claim,Non Medical,1965-11-13,60,19/03/1995,
273,Mira Wijaya,F,Cleaning Service,Non Medical,1993-08-01,32,21/07/2017,
274,Teguh Setiadi,M,Building Technician,Non Medical,1969-12-08,56,13/01/2007,
275,Budi Suryanto,M,Security,Non Medical,1979-08-25,46,29/12/2015,
276,Dedi Widodo,M,Doctor,Medical,1969-08-11,56,14/01/2002,
277,"dr. Mahendra Maulana, Sp.PA",M,Specialist Doctor,Medical,1996-09-13,29,08/03/2022,
278,"Gunawan Setiawan, M.KM",M,Medical Records,Non Medical,1985-09-13,40,15/06/2012,
279,"Diah Panjaitan, M.M",F,Administration,Non Medical,1973-06-21,52,10/01/2008,
280,"Diah Susanto, M.KM",F,Medical Records,Non Medical,1986-12-13,39,24/12/2010,
281,"Kartika Purwanto, Ners",F,Nurse,Medical,1975-08-27,50,31/10/1993,
282,"Zainal Panjaitan, M.Ked",M,Doctor,Medical,1971-07-10,54,21/03/1991,
283,"Anisa Priyanto, M.T",F,Management,Non Medical,1967-12-04,58,20/12/1996,
284,"Maya Hartono, S.Kom",F,IT Team,Non Medical,1974-07-23,51,29/05/2010,
285,"Sinta Panjaitan, M.KM",F,Medical Records,Non Medical,1984-01-17,42,16/12/2004,
286,"dr. Mega Siregar, Sp.JP",F,Specialist Doctor,Medical,1986-02-04,40,01/05/2012,
287,"Vina Gunawan, M.Keb",F,Midwife,Medical,1971-01-18,55,04/01/1989,
288,Agus Wijayanto,M,Security,Non Medical,1968-02-28,58,23/11/1998,
289,"Zara Firmansyah, M.Kep",F,Nurse,Medical,1980-11-12,45,04/01/2019,
290,"Yanti Suryanto, Ners",F,Nurse,Medical,1975-01-27,51,01/11/2007,
291,"Kurniawan Putra, M.Adm.Kes",M,Management,Non Medical,1992-11-24,33,20/12/2015,
292,Diana Prasetyo,F,Cleaning Service,Non Medical,2003-12-26,22,24/08/2025,
293,"dr. Rina Utomo, Sp.KJ",F,Specialist Doctor,Medical,1966-02-07,60,29/03/1987,
294,"Kusuma Susanto, S.Adm",M,Administration,Non Medical,2000-05-26,25,19/07/2018,
