employee_id,full_name,profession_id,profession_group_id,gender,date_of_birth,hire_date,resignation_date
81,"Citra Nasution, A.Md.Keb",1414,1,F,18/09/1977,22/03/2000,
82,"Indah Tampubolon, drg. Sp.BM",1412,1,F,27/02/1972,08/09/1999,
83,"Apt., Yanti Pasaribu",1419,1,F,10/08/1969,24/11/1991,
84,"A.Md.AK, Nadia Tampubolon",1418,1,F,31/05/1967,03/08/1999,
85,"Bambang Santoso",1424,2,M,07/02/1998,24/05/2023,
86,"Dimas Simanjuntak",1429,2,M,03/08/1965,21/06/1990,
87,"Rina Manurung, Ners",1413,1,F,30/07/1974,18/07/1992,
88,"Fitri Sari, S.Sos",1427,2,F,15/09/1966,01/10/2001,
89,"M.Farm, Fitri Susanto",1419,1,F,04/04/1977,09/08/2014,
90,"SST, Retno Manurung",1417,1,F,03/09/1987,16/03/2010,
91,"Galih Permana",1432,2,M,21/05/1996,05/08/2019,
92,"dr. Sp.KK, Sri Santoso",1412,1,F,24/12/1990,13/06/2021,
93,"Diah Santoso, Dr.",1413,1,F,14/11/1995,09/02/2024,
94,"Firmansyah Wibowo, S.E",1427,2,M,07/11/1969,02/09/1988,
95,"dr. Sp.B, Farhan Sari",1412,1,M,27/01/1987,08/09/2010,
96,"A.Md.Kep, Vina Saputra",1413,1,F,11/07/2003,01/05/2022,
97,"Haris Siahaan, dr. Sp.KK",1412,1,M,19/04/1978,01/03/2014,
98,"S.E, Yuni Prasetyo",1427,2,F,06/04/1972,06/08/2001,
99,"Retno Siregar",1419,1,F,19/03/1996,03/06/2023,
100,"Yoga Hutapea, A.Md.AK",1418,1,M,17/07/1977,22/02/2009,
101,"Agus Setiadi, dr. Sp.KK",1412,1,M,06/03/1975,25/04/2004,
102,"Kurniawan Sitompul",1431,2,M,26/09/1972,07/11/1993,
103,"Bayu Pratama, S.Tr.Kes",1431,2,M,03/09/1992,10/12/2017,
104,"MD, Nur Setiadi",1411,1,F,22/07/1981,02/09/2011,
105,"Citra Panjaitan, Dr.",1413,1,F,30/11/1994,27/11/2014,23/10/2015
106,"Vina Kurniawan",1426,2,F,05/07/2002,23/08/2022,
107,"Zulkifli Sugiarto",1413,1,M,20/11/1981,09/02/2017,
108,"Wulan Suryanto, M.Kep",1413,1,F,02/10/1990,27/03/2022,
109,"S.Tr.ELM, Rahmat Suprapto",1416,1,M,17/06/1980,18/07/2006,
110,"Lukman Saputra, S.Farm",1419,1,M,05/09/1987,21/04/2010,
111,"Susilo Sugiarto",1424,2,M,26/09/1989,08/03/2020,
112,"Novita Raharjo, M.Kep",1413,1,F,29/12/1979,25/03/2013,
113,"Haris Suryanto, dr.",1411,1,M,24/04/1988,22/12/2024,
114,"Nur Suryanto",1426,2,F,30/04/1990,27/09/2018,
115,"S.T, Nadia Situmorang",1425,2,F,25/05/1974,25/02/1993,
116,"Hadi Siahaan",1413,1,M,26/10/1974,31/01/2006,
117,"Ners, Wulan Sinaga",1413,1,F,05/02/2001,18/09/2024,
118,"S.Kep, Fajar Simbolon",1413,1,M,16/08/1998,21/04/2021,
119,"Dr., Tiara Hakim",1413,1,F,14/05/1981,30/09/1999,
120,"Zulkifli Saputra, M.Ked",1411,1,M,26/10/1977,29/05/2006,
121,"Hendra Kurniawan",1429,2,M,12/08/1989,07/07/2021,
122,"Ayu Santoso, A.Md.Kep",1413,1,F,26/03/1993,16/05/2019,
123,"Silvi Wijaya, dr. Sp.PK",1412,1,F,17/08/2002,18/03/2022,
124,"A.Md.Kep, Sri Priyanto",1413,1,F,19/12/1989,09/12/2015,
125,"Ahmad Pratama",1433,2,M,27/10/2002,14/03/2021,
126,"dr. Sp.An, Susilo Malik",1412,1,M,24/04/1984,27/07/2009,
127,"Ratna Prabowo, M.Keb",1414,1,F,01/08/1967,01/06/2001,
128,"dr., Ahmad Rahman",1411,1,M,08/11/1986,10/10/2019,
129,"Rahmat Rahman",1427,2,M,09/08/1993,29/06/2021,
130,"Nugroho Hutapea, A.Md.Keb",1414,1,M,18/02/1988,02/03/2018,
131,"Nur Sari, Sp.Kep",1413,1,F,02/01/1983,28/03/2003,
132,"Slamet Siahaan, MBBS",1411,1,M,06/05/1993,06/10/2021,
133,"Made Prasetyo, dr.",1411,1,M,04/03/1976,05/07/2013,
134,"Fani Wijayanto, S.Tr.Kes",1431,2,F,02/04/1984,14/11/2021,10/01/2023
135,"M.KM, Dimas Wibowo",1426,2,M,03/05/1998,11/08/2019,
136,"Anisa Utomo",1425,2,F,29/09/1997,05/11/2025,
137,"Endah Widodo, RD",1421,1,F,22/02/1972,13/12/2012,
138,"DrPH, Dewi Prabowo",1424,2,F,28/12/1974,25/01/1996,
139,"Joko Siahaan, A.Md.T",1434,2,M,12/08/2003,27/04/2022,04/12/2024
140,"M.M, Candra Sugiarto",1427,2,M,11/03/1988,05/01/2023,
141,"RD, Putri Kusuma",1421,1,F,05/04/1981,23/09/2010,
142,"MD, Zulkifli Lubis",1411,1,M,13/01/1999,26/10/2018,
143,"A.Md.Kes, Kusuma Situmorang",1418,1,M,18/01/1965,03/01/1984,26/01/2004
144,"SST, Zainal Siahaan",1417,1,M,21/05/1993,05/01/2021,
145,"dr., Dewi Gunawan",1411,1,F,06/12/1979,13/12/2015,
146,"Ahmad Siregar",1430,2,M,31/10/1977,07/12/2006,
147,"Yanto Suprapto, S.Kes",1415,1,M,07/01/1982,10/01/2005,
148,"Dedi Purwanto, M.Farm",1419,1,M,25/11/1991,19/03/2020,
149,"A.Md.Kes, Bayu Suryanto",1415,1,M,22/09/1996,18/01/2014,
150,"Mahendra Putra",1429,2,M,29/09/1977,20/04/2004,
151,"Cahyo Kurniawan",1417,1,M,07/10/2001,09/05/2021,
152,"Ir., Usman Hakim",1423,2,M,28/08/1983,18/01/2011,
153,"MD, Nur Hermawan",1411,1,F,31/12/1969,31/03/2002,24/07/2013
154,"S.E, Maya Simanjuntak",1427,2,F,17/05/2002,02/09/2023,
155,"Gunawan Sinaga",1411,1,M,09/09/1979,08/07/2007,
156,"Jaya Sitompul, S.Tr.Kes",1431,2,M,24/07/1999,22/02/2019,
157,"A.Md.Kep, Kusuma Prabowo",1413,1,M,27/09/1988,27/12/2013,
158,"Rini Malik, A.Md.Kes",1415,1,F,02/03/1976,13/03/2000,
159,"S.Tr.Kes, Ahmad Sugiarto",1418,1,M,25/06/1987,25/03/2023,
160,"Vina Widodo, S.Kep",1413,1,F,15/06/1981,10/08/2006,
161,"dr. Sp.JP, Zainal Simbolon",1412,1,M,30/12/1997,22/04/2018,
162,"M.Kes, Slamet Wijaya",1415,1,M,01/03/1988,18/11/2012,
163,"Rudi Hartono, ATLM",1422,1,M,02/03/1989,20/06/2017,
164,"Dr., Yoga Hermawan",1413,1,M,16/09/1968,24/07/2005,
165,"Nadia Hartono",1416,1,F,27/08/1968,06/05/1987,
166,"S.Sos, Rahmat Hutapea",1427,2,M,22/03/1965,29/04/2005,
167,"A.Md.Kep, Rahmat Susanto",1413,1,M,18/12/1973,10/04/2008,
168,"S.Kes, Zainal Pasaribu",1415,1,M,02/10/1976,23/12/2013,
169,"Bayu Simanjuntak, Dr.",1411,1,M,05/04/1970,02/12/2010,
170,"Yanto Wibowo",1427,2,M,09/12/1986,20/06/2022,
171,"Ningsih Firmansyah",1430,2,F,22/10/1968,09/01/1990,
172,"Kurniawan Wijaya",1427,2,M,15/11/1988,04/06/2023,
173,"Bella Manurung",1416,1,F,01/12/1969,23/03/2007,
174,"Gilang Gunawan, A.Md.Kes",1415,1,M,22/12/1969,12/06/2005,14/06/2024
175,"Yoga Wibowo",1421,1,M,09/03/1993,09/06/2024,
176,"Tuti Suprapto, S.Sos",1427,2,F,25/01/1994,01/12/2018,
177,"Dewi Kusuma, S.Kep",1413,1,F,23/10/1979,07/03/2007,
178,"M.KM, Diah Prabowo",1426,2,F,17/12/1976,13/07/1998,
179,"M.M, Rina Sari",1423,2,F,06/10/1982,21/06/2010,
180,"SST, Purwanto Sinaga",1417,1,M,16/07/1996,13/06/2022,
181,"Yuliana Simbolon, M.KM",1426,2,F,09/06/2000,16/08/2020,
182,"S.Ked, Eko Tampubolon",1411,1,M,16/07/1982,08/07/2011,
183,"Budi Hermawan",1413,1,M,10/05/1971,01/11/2005,
184,"Purwanto Hutabarat, MARS",1424,2,M,23/08/1965,30/11/1983,
185,"SST, Fitri Raharjo",1414,1,F,29/07/1974,22/12/1995,
186,"S.Adm.Kes, Endah Utomo",1423,2,F,10/06/1978,26/03/2017,
187,"M.Kes, Ika Setiadi",1415,1,F,20/08/2000,07/12/2018,
188,"Usman Wibowo",1433,2,M,02/04/1991,19/09/2018,
189,"M.Kep, Rina Gunawan",1413,1,F,02/02/1984,22/06/2021,
190,"Puspita Hakim, S.Kep",1413,1,F,08/12/1982,28/09/2007,09/05/2025
191,"Elia Prasetyo, S.Adm",1427,2,F,15/08/1986,13/09/2005,
192,"MBBS, Elia Widodo",1411,1,F,21/04/1988,21/02/2025,
193,"A.Md.ELM, Lestari Priyanto",1416,1,F,07/08/1966,10/05/1985,
194,"Taufik Pratama",1430,2,M,19/10/1971,10/07/2009,
195,"Joko Suprapto",1435,2,M,30/10/1968,07/05/1995,
196,"S.Ked, Rahmat Wibowo",1411,1,M,25/03/1975,18/07/1996,
197,"Rini Siahaan, A.Md.Kep",1413,1,F,25/11/1996,03/01/2015,23/11/2017
198,"M.Kes, Tiara Kusuma",1415,1,F,02/09/1997,22/08/2015,
199,"Sp.Kep, Diana Wibowo",1413,1,F,17/12/1986,01/11/2015,
200,"M.M, Bella Santoso",1427,2,F,30/11/1985,27/09/2018,
201,"dr. Sp.B, Lina Hutabarat",1412,1,F,07/04/1965,03/03/2002,
202,"Gilang Priyanto, CA",1428,2,M,09/08/1998,16/08/2020,
203,"Tri Maulana, M.M",1427,2,F,26/10/1996,21/09/2023,
204,"Hadi Setiawan, S.K3",1435,2,M,21/04/1986,18/08/2018,02/08/2020
205,"dr. Sp.P, Lestari Putra",1412,1,F,06/11/1982,13/05/2022,
206,"Galih Hutapea, A.Md.Kes",1415,1,M,29/11/1980,05/09/2005,
207,"Lukman Putra",1430,2,M,13/12/1981,02/11/2006,
208,"Haris Sugiarto",1434,2,M,01/06/1968,28/08/2001,
209,"Zara Raharjo",1427,2,F,23/11/1972,20/10/1998,10/07/2014
210,"Dr., Kartika Wijayanto",1413,1,F,06/01/1987,25/11/2014,
211,"M.KM, Endah Utomo",1426,2,F,11/12/1979,06/10/2015,
212,"Joko Wijayanto",1430,2,M,12/10/1981,23/07/2017,25/10/2019
213,"Retno Situmorang, dr. Sp.RM",1412,1,F,09/08/1969,14/08/2006,
214,"A.Md.Kes, Gunawan Budiman",1418,1,M,14/01/1987,18/03/2019,
215,"Hesti Kurniawan, M.Kep",1413,1,F,28/09/1999,01/11/2022,
216,"Ika Setiawan, S.Adm",1427,2,F,10/05/1982,22/07/2010,
217,"M.M, Ika Panjaitan",1427,2,F,05/05/2000,12/12/2024,
218,"Drs., Bella Prasetyo",1423,2,F,11/03/1972,22/02/2002,
219,"MBBS, Zulkifli Nasution",1411,1,M,11/10/1966,20/05/1999,
220,"Endah Hutabarat, S.E",1423,2,F,10/05/1986,05/05/2018,
221,"Galih Nugroho, MBBS",1411,1,M,22/05/1972,26/07/2001,
222,"S.KM, Kurniawan Pratama",1424,2,M,02/07/1974,07/02/2008,
223,"Dr. dr. Sp.PD, Haris Tampubolon",1412,1,M,17/06/1998,02/08/2016,
224,"Endah Wijaya",1433,2,F,24/01/1995,10/04/2013,
225,"Ak., Gunawan Panjaitan",1428,2,M,14/04/2003,19/12/2024,
226,"A.Md.Kep, Yuliana Sugiarto",1413,1,F,15/09/1972,25/04/2012,
227,"Vina Wijayanto",1420,1,F,10/08/1987,17/04/2019,
228,"Susilo Suprapto, Dr.",1411,1,M,20/04/1966,23/11/2000,
229,"Vina Saputra, A.Md.Kes",1431,2,F,03/01/1995,06/11/2018,10/04/2019
230,"Dr., Mira Saputra",1413,1,F,15/07/1992,03/09/2019,
231,"Irfan Permana",1429,2,M,29/12/1985,29/07/2005,
232,"Firmansyah Purwanto",1415,1,M,17/12/1987,30/11/2021,
233,"M.Biomed, Fani Manurung",1418,1,F,12/07/1973,06/02/2008,
234,"Dimas Situmorang, S.Adm.Kes",1423,2,M,21/07/1978,16/07/2014,
235,"Putri Purwanto, S.Tr.Kes",1422,1,F,26/03/1969,06/08/2004,
236,"SST, Widya Pasaribu",1414,1,F,25/12/1996,26/09/2018,
237,"Yanto Manurung, MBBS",1411,1,M,30/01/1999,10/11/2023,
238,"Wati Hidayat, Ners",1413,1,F,09/07/2000,09/05/2025,
239,"Fani Hermawan",1430,2,F,25/08/1971,19/12/2007,
240,"Ners, Oki Pratama",1413,1,M,21/12/1987,28/03/2017,
241,"A.Md.Kes, Yanti Putra",1415,1,F,29/08/1979,20/10/1997,06/03/2003
242,"Vina Wijayanto",1413,1,F,29/12/1970,27/04/2008,
243,"Zainal Siregar, Drs.",1423,2,M,10/02/1968,08/04/2001,
244,"Anisa Setiawan, Ners",1413,1,F,28/11/1970,10/10/2000,10/07/2001
245,"M.Kep, Agus Pasaribu",1413,1,M,10/09/1966,25/03/1996,
246,"Mira Setiawan, S.Keb",1414,1,F,18/05/2001,09/06/2025,
247,"Vera Hidayat, S.Tr.Kes",1422,1,F,13/08/1990,20/09/2015,
248,"Susilo Simanjuntak",1432,2,M,21/08/1984,07/08/2017,
249,"Candra Wibowo",1429,2,M,23/02/1983,29/04/2008,
250,"MARS, Taufik Pasaribu",1423,2,M,14/05/2003,23/06/2023,
251,"Slamet Siahaan, S.Kep",1413,1,M,28/02/1977,23/09/2004,
252,"Vina Sinaga, dr. Sp.RM",1412,1,F,21/12/1989,19/08/2025,
253,"Wawan Wijaya",1429,2,M,13/03/1982,23/06/2020,
254,"Putri Firmansyah",1422,1,F,26/03/1985,22/09/2021,21/07/2025
255,"S.Ak, Wawan Malik",1428,2,M,09/03/1988,18/06/2009,
256,"Sari Sari, S.Kep",1413,1,F,12/08/1977,05/11/2001,
257,"Rina Widodo, M.M",1423,2,F,23/11/1991,08/04/2021,
258,"Maya Firmansyah, S.E",1427,2,F,29/08/1989,27/03/2025,
259,"M.Kep, Sinta Setiawan",1413,1,F,09/11/1989,08/06/2022,
260,"M.Keb, Yuni Lubis",1414,1,F,07/08/2001,31/10/2024,21/10/2025
261,"Dwi Hutapea, Ners",1413,1,M,05/06/1983,24/03/2019,
262,"Wati Hermawan, dr. Sp.A",1412,1,F,30/09/1983,31/05/2011,19/05/2020
263,"Mega Simanjuntak, S.KM",1435,2,F,05/03/2003,09/06/2022,
264,"S.Adm, Fajar Simanjuntak",1427,2,M,08/05/1997,06/07/2015,
265,"S.Kom, Taufik Siregar",1425,2,M,06/11/1974,16/11/1995,
266,"Zara Sugiarto",1430,2,F,11/02/1997,17/02/2024,
267,"Lestari Utomo, Dr.",1413,1,F,26/01/1970,04/01/2005,
268,"Kartika Lubis",1423,2,F,15/09/1987,28/11/2016,
269,"Hesti Hakim, Bd.",1414,1,F,03/01/2000,05/12/2024,
270,"Ak., Lina Kusuma",1428,2,F,10/10/1972,15/09/1990,
271,"Wulan Budiman, S.Kep",1413,1,F,10/10/1997,11/07/2016,
272,"Susilo Panjaitan",1424,2,M,13/11/1965,19/03/1995,
273,"Mira Wijaya",1430,2,F,01/08/1993,21/07/2017,
274,"Teguh Setiadi",1434,2,M,08/12/1969,13/01/2007,
275,"Budi Suryanto",1429,2,M,25/08/1979,29/12/2015,
276,"Dedi Widodo",1411,1,M,11/08/1969,14/01/2002,
277,"Mahendra Maulana, dr. Sp.PA",1412,1,M,13/09/1996,08/03/2022,
278,"M.KM, Gunawan Setiawan",1426,2,M,13/09/1985,15/06/2012,
279,"Diah Panjaitan, M.M",1427,2,F,21/06/1973,10/01/2008,
280,"M.KM, Diah Susanto",1426,2,F,13/12/1986,24/12/2010,
281,"Kartika Purwanto, Ners",1413,1,F,27/08/1975,31/10/1993,
282,"Zainal Panjaitan, M.Ked",1411,1,M,10/07/1971,21/03/1991,
283,"Anisa Priyanto, M.T",1423,2,F,04/12/1967,20/12/1996,
284,"Maya Hartono, S.Kom",1425,2,F,23/07/1974,29/05/2010,
285,"Sinta Panjaitan, M.KM",1426,2,F,17/01/1984,16/12/2004,
286,"dr. Sp.JP, Mega Siregar",1412,1,F,04/02/1986,01/05/2012,
287,"M.Keb, Vina Gunawan",1414,1,F,18/01/1971,04/01/1989,
288,"Agus Wijayanto",1429,2,M,28/02/1968,23/11/1998,
289,"M.Kep, Zara Firmansyah",1413,1,F,12/11/1980,04/01/2019,
290,"Yanti Suryanto, Ners",1413,1,F,27/01/1975,01/11/2007,
291,"M.Adm.Kes, Kurniawan Putra",1423,2,M,24/11/1992,20/12/2015,
292,"Diana Prasetyo",1430,2,F,26/12/2003,24/08/2025,
293,"Rina Utomo, dr. Sp.KJ",1412,1,F,07/02/1966,29/03/1987,
294,"S.Adm, Kusuma Susanto",1427,2,M,26/05/2000,19/07/2018,
295,"Dra., Yanti Firmansyah",1423,2,F,11/10/1978,05/05/1999,
296,"dr. Sp.PD, Taufik Pratama",1412,1,M,13/02/1973,12/09/2012,
297,"Linda Utomo, Dr.",1413,1,F,04/04/1972,17/04/1992,
298,"Fani Pasaribu, Sp.Farm",1419,1,F,06/06/1981,01/03/2017,
299,"A.Md.Kep, Diana Permana",1413,1,F,12/12/1995,29/08/2021,
300,"Rina Suprapto, S.Ak",1428,2,F,25/10/1967,24/01/1990,
301,"Joko Malik, M.Kes",1415,1,M,28/05/1976,29/09/2004,21/03/2014
302,"Bella Priyanto, SST",1414,1,F,15/06/1979,29/06/2002,
303,"Dedi Panjaitan",1433,2,M,02/04/1978,26/10/2006,
304,"Silvi Suprapto, S.Sos",1427,2,F,31/03/1971,26/11/2010,
305,"Bella Widodo, S.Kep",1413,1,F,11/07/1970,17/10/2005,
306,"Citra Hutapea",1430,2,F,22/08/1989,20/02/2010,
307,"Dr., Linda Prabowo",1413,1,F,06/08/1976,22/03/2016,21/05/2022
308,"Rina Malik, dr. Sp.An",1412,1,F,31/10/1979,17/04/2009,
309,"Ratna Purwanto",1428,2,F,12/02/1966,06/07/1993,11/07/2006
310,"Bambang Suryanto",1430,2,M,13/10/1989,23/03/2008,16/03/2015
311,"Wawan Hakim",1429,2,M,04/07/2002,29/09/2025,
312,"Ners, Ayu Santoso",1413,1,F,22/01/2000,03/03/2019,
313,"A.Md.Kep, Cahyo Manurung",1413,1,M,16/11/2003,11/12/2025,
314,"S.Si, Hendra Raharjo",1418,1,M,29/03/1973,05/07/1991,
315,"M.Kom, Ani Pratama",1425,2,F,12/03/1986,04/01/2007,
316,"Mira Panjaitan, M.Kep",1413,1,F,23/02/1994,21/09/2020,
317,"S.Tr.Kom, Fitri Hakim",1425,2,F,13/02/1995,28/05/2019,
318,"Putri Hermawan",1426,2,F,29/06/1994,16/11/2015,
319,"Silvi Panjaitan",1429,2,F,15/11/1977,19/10/2009,
320,"Zahra Gunawan, M.Kep",1413,1,F,24/12/1996,03/09/2019,
321,"M.Kep, Hesti Sugiarto",1413,1,F,17/07/1993,15/09/2024,23/12/2025
322,"A.Md.RMIK, Lukman Situmorang",1426,2,M,08/08/1969,25/01/1988,
323,"Ayu Gunawan",1413,1,F,26/06/1973,05/12/2013,20/06/2018
324,"M.Ked, Lestari Hidayat",1411,1,F,08/10/1986,10/03/2008,
325,"Widya Setiadi",1430,2,F,01/10/2002,30/04/2024,
326,"M.M, Retno Rahman",1427,2,F,03/12/1982,02/08/2022,
327,"M.Kep, Zahra Tampubolon",1413,1,F,30/09/2001,30/07/2020,11/02/2025
328,"Intan Suryanto, Sp.Kep",1413,1,F,23/11/1991,21/05/2009,
329,"Dewi Kurniawan, Dr.",1413,1,F,11/01/1974,17/10/1997,
330,"A.Md.RMIK, Yoga Situmorang",1426,2,M,19/12/1997,06/09/2015,
331,"Rini Wijayanto, S.T",1425,2,F,27/02/1991,23/09/2015,21/11/2016
332,"Widya Hutabarat",1430,2,F,06/12/1972,21/12/1994,
333,"Cahyo Pratama, dr.",1411,1,M,02/08/2001,16/05/2021,
334,"MBBS, Zahra Sari",1411,1,F,20/08/1989,21/02/2009,
335,"Dewi Hermawan",1433,2,F,23/10/1968,17/01/2007,
336,"M.Kep, Zulkifli Wijaya",1413,1,M,07/01/1987,02/05/2025,
337,"A.Md.Kes, Kartika Prabowo",1422,1,F,08/11/1991,05/11/2024,
338,"Fani Susanto",1433,2,F,19/06/1994,13/05/2015,
339,"Ani Panjaitan",1427,2,F,02/06/1971,09/06/2004,
340,"Wahyu Lubis, dr. Sp.PA",1412,1,M,03/08/1992,11/11/2015,
341,"Wahyu Hutapea",1433,2,M,18/06/1994,23/08/2014,
342,"M.M, Ade Suryanto",1427,2,M,09/04/1968,14/06/1988,02/12/2000
343,"Zulkifli Nugroho, A.Md.Kep",1413,1,M,16/11/2001,20/06/2024,
344,"Yanti Lubis, MBA",1423,2,F,04/08/2000,13/12/2024,
345,"A.Md.Kep, Ika Firmansyah",1413,1,F,30/12/1969,24/12/1991,
346,"M.M, Prasetyo Setiawan",1427,2,M,19/11/1995,25/03/2021,
347,"A.Md, Iwan Wijaya",1427,2,M,10/01/1983,26/03/2011,
348,"Hendra Sinaga, S.Ked",1411,1,M,29/10/1972,03/08/1993,
349,"S.KM, Nanang Rahman",1426,2,M,25/06/1967,24/08/1991,
